iter	RMSE
0	5451.624143
1	5302.721675
2	5156.398449
3	5017.811422
4	4880.176657
5	4746.336472
6	4620.270473
7	4493.695256
8	4371.503714
9	4253.708446
10	4137.116431
11	4025.810343
12	3920.069626
13	3815.904103
14	3714.252072
15	3620.125593
16	3525.845613
17	3432.949853
18	3342.703852
19	3258.556258
20	3175.060598
21	3093.496189
22	3013.827844
23	2935.616192
24	2860.971283
25	2789.034458
26	2720.156688
27	2651.63004
28	2587.414323
29	2522.974086
30	2462.082359
31	2401.845964
32	2344.176195
33	2289.018468
34	2234.583501
35	2180.929831
36	2130.809922
37	2081.25182
38	2033.741647
39	1988.064151
40	1943.667851
41	1901.684409
42	1858.917925
43	1818.557458
44	1778.701283
45	1740.808587
46	1705.66498
47	1671.846622
48	1636.37404
49	1603.816757
50	1569.604691
51	1539.195597
52	1509.782193
53	1481.410118
54	1451.76495
55	1424.592272
56	1398.999038
57	1373.675515
58	1350.345987
59	1326.619058
60	1304.348335
61	1280.727828
62	1259.950813
63	1238.62386
64	1219.42718
65	1200.993774
66	1182.695302
67	1165.716713
68	1149.091525
69	1131.362128
70	1113.718803
71	1097.34466
72	1082.753482
73	1068.812055
74	1054.872711
75	1042.114786
76	1029.547413
77	1017.891593
78	1005.591984
79	993.1685681
80	980.9810714
81	970.4492049
82	960.3240385
83	949.2525873
84	940.025967
85	930.7694682
86	922.0141006
87	913.7922901
88	905.8148977
89	898.0413137
90	890.7147461
91	881.7877948
92	875.1746264
93	866.6818711
94	860.1230926
95	852.4668401
96	846.3122696
97	840.3412835
98	833.6052261
99	827.5492092
100	822.3816276
101	817.4826608
102	812.567042
103	807.8562075
104	801.7503675
105	796.9904036
106	791.348884
107	787.610864
108	783.5264796
109	779.730237
110	775.7522252
111	771.6585525
112	766.9642379
113	763.2754588
114	758.8047225
115	755.3423685
116	752.3765805
117	748.9863455
118	746.2704024
119	743.1220984
120	738.6154262
121	736.0486319
122	733.6389744
123	730.5591124
124	726.6501909
125	723.757795
126	719.8405156
127	717.9219406
128	714.9216944
129	712.8432099
130	710.6766286
131	708.5414543
132	706.5149036
133	704.2738104
134	702.1895487
135	700.0391928
136	698.4797922
137	695.2064968
138	692.8054433
139	691.3622138
140	690.0518183
141	688.872501
142	685.8909891
143	683.1070665
144	681.5589526
145	680.3188052
146	678.8245894
147	677.25803
148	676.3541798
149	675.2206355
150	673.1243532
151	672.1393167
152	671.2033602
153	669.77616
154	668.5948878
155	667.2556714
156	664.7838025
157	663.5210581
158	661.4909435
159	660.4413163
160	659.2400624
161	657.7945866
162	656.8701905
163	655.7411692
164	654.9433897
165	653.688628
166	651.9655222
167	650.9130513
168	650.0812626
169	649.06518
170	648.373796
171	647.4026021
172	645.5357728
173	644.6027052
174	642.4673064
175	641.9179403
176	640.1460111
177	638.8768871
178	638.6583997
179	637.9212113
180	637.3121489
181	636.2393116
182	634.3475236
183	633.9735794
184	633.4139767
185	632.4788872
186	631.8018116
187	631.0603735
188	630.54663
189	630.2474507
190	629.3530945
191	628.5643618
192	627.1487187
193	625.6760813
194	625.4104701
195	624.7688259
196	624.4197871
197	623.5299334
198	621.9094437
199	620.3925872
200	620.2642794
201	618.6255528
202	618.1409358
203	617.7439045
204	617.3815302
205	616.5065622
206	616.1726319
207	615.9665993
208	614.4193485
209	614.1530583
210	613.6482105
211	613.5923903
212	613.4635968
213	613.2492579
214	612.8849531
215	612.2560631
216	611.7615075
217	611.4755801
218	611.3465528
219	611.2564808
220	610.9632944
221	610.7441374
222	609.9622319
223	608.5294232
224	607.7744884
225	607.6934173
226	606.7829646
227	606.7011349
228	606.6006554
229	606.2335035
230	605.3958898
231	605.3173408
232	604.713181
233	604.6636779
234	604.5815947
235	604.4390359
236	604.1540773
237	603.5588056
238	603.5195674
239	603.338782
240	602.467726
241	602.1464095
242	601.7212395
243	601.72091
244	601.7134209
245	601.668345
246	600.8021318
247	600.4007171
248	600.36614
249	600.3599411
250	599.8464973
251	599.8207237
252	599.6252214
253	599.297162
254	599.0259084
255	598.4916076
256	598.4153343
257	598.1064434
258	597.859093
259	597.5798384
260	597.4051044
261	596.7661009
262	596.3894941
263	595.765375
264	595.6893221
265	595.6892275
266	595.4523757
267	595.0946369
268	594.9993363
269	594.4999481
270	594.3809113
271	594.192391
272	594.1894876
273	593.8880411
274	593.806896
275	593.7606941
276	592.9338832
277	592.9173174
278	592.5239009
279	591.9840402
280	591.65685
281	591.5748655
282	591.5298924
283	591.1684375
284	591.1561837
285	590.6747654
286	590.366391
287	589.9626719
288	589.6493198
289	588.7587202
290	588.2975643
291	587.6557365
292	586.8327097
293	586.7741871
294	586.7198997
295	586.719773
296	586.665191
297	586.6344182
298	586.3371321
299	586.018137
300	585.9618604
301	585.8969301
302	585.6597053
303	585.6182522
304	584.8858193
305	584.6603822
306	584.6384285
307	584.584368
308	584.2401024
309	583.972104
310	583.9300242
311	583.8857417
312	583.8857278
313	583.7421091
314	583.7148435
315	583.7120088
316	582.9384292
317	582.9099127
318	582.36283
319	582.3619222
320	581.71192
321	581.4849679
322	581.4589611
323	581.4162545
324	581.4146373
325	580.9436906
326	580.9246275
327	580.826037
328	580.7305717
329	580.6493452
330	579.6843965
331	579.6559127
332	579.6478911
333	579.6386889
334	579.3371398
335	579.3093784
336	579.0886558
337	579.0639006
338	579.0532666
339	579.0527693
340	579.0206395
341	578.9770661
342	578.6980828
343	578.3948286
344	578.3695333
345	577.9983956
346	577.9954014
347	577.9018401
348	577.8823333
349	577.7322988
350	577.7320324
351	577.4964978
352	577.4705377
353	577.2021111
354	577.1702746
355	577.1452337
356	576.8784323
357	576.8781711
358	576.8653671
359	576.6337155
