iter	Passed	Remaining
0	129	129264
1	175	87813
2	223	74327
3	266	66250
4	307	61179
5	348	57730
6	396	56305
7	453	56237
8	515	56807
9	573	56769
10	617	55505
11	658	54255
12	699	53141
13	752	53018
14	807	53019
15	849	52217
16	905	52353
17	979	53463
18	1045	53972
19	1098	53828
20	1148	53521
21	1197	53240
22	1265	53758
23	1316	53524
24	1366	53295
25	1409	52803
26	1459	52579
27	1509	52390
28	1549	51894
29	1600	51739
30	1639	51232
31	1683	50916
32	1724	50521
33	1765	50175
34	1811	49956
35	1851	49585
36	1892	49262
37	1934	48978
38	1975	48679
39	2018	48446
40	2060	48190
41	2101	47923
42	2145	47758
43	2185	47492
44	2226	47255
45	2266	46997
46	2314	46937
47	2359	46790
48	2399	46564
49	2439	46347
50	2487	46281
51	2528	46095
52	2571	45953
53	2626	46011
54	2675	45964
55	2722	45897
56	2775	45911
57	2827	45924
58	2885	46025
59	2937	46015
60	2981	45893
61	3037	45956
62	3079	45795
63	3119	45628
64	3176	45696
65	3224	45626
66	3276	45622
67	3318	45486
68	3358	45311
69	3399	45165
70	3451	45155
71	3502	45139
72	3545	45029
73	3589	44913
74	3630	44780
75	3682	44765
76	3730	44713
77	3772	44591
78	3813	44462
79	3854	44323
80	3894	44187
81	3935	44063
82	3976	43936
83	4017	43807
84	4057	43676
85	4098	43560
86	4152	43582
87	4194	43472
88	4234	43344
89	4274	43224
90	4313	43087
91	4353	42962
92	4393	42850
93	4434	42743
94	4476	42640
95	4517	42540
96	4558	42436
97	4600	42343
98	4646	42288
99	4687	42183
100	4728	42088
101	4771	42009
102	4815	41934
103	4858	41854
104	4902	41786
105	4944	41701
106	4990	41648
107	5035	41590
108	5079	41525
109	5126	41478
110	5201	41660
111	5265	41747
112	5313	41707
113	5357	41634
114	5397	41539
115	5450	41534
116	5499	41501
117	5553	41508
118	5601	41468
119	5644	41395
120	5684	41296
121	5724	41197
122	5763	41095
123	5804	41002
124	5847	40934
125	5913	41022
126	5958	40961
127	6000	40875
128	6045	40815
129	6089	40755
130	6143	40755
131	6182	40654
132	6224	40579
133	6278	40579
134	6339	40617
135	6382	40548
136	6423	40462
137	6464	40377
138	6503	40285
139	6543	40194
140	6583	40106
141	6623	40018
142	6666	39952
143	6719	39942
144	6762	39876
145	6806	39815
146	6863	39825
147	6916	39819
148	6980	39870
149	7038	39885
150	7102	39931
151	7165	39977
152	7218	39962
153	7277	39976
154	7359	40119
155	7429	40197
156	7477	40148
157	7526	40110
158	7573	40057
159	7617	39990
160	7668	39960
161	7716	39914
162	7766	39882
163	7815	39840
164	7884	39901
165	7950	39942
166	8006	39935
167	8070	39970
168	8124	39951
169	8172	39900
170	8217	39837
171	8269	39807
172	8313	39739
173	8360	39688
174	8408	39640
175	8451	39567
176	8496	39506
177	8563	39546
178	8612	39503
179	8665	39476
180	8722	39468
181	8783	39478
182	8833	39438
183	8874	39355
184	8916	39282
185	8958	39207
186	9001	39136
187	9050	39091
188	9111	39097
189	9183	39148
190	9226	39081
191	9270	39011
192	9317	38958
193	9364	38906
194	9406	38832
195	9452	38774
196	9494	38698
197	9535	38625
198	9576	38546
199	9616	38467
200	9657	38391
201	9712	38369
202	9752	38290
203	9795	38220
204	9834	38138
205	9876	38066
206	9918	37996
207	9964	37940
208	10008	37878
209	10068	37876
210	10114	37820
211	10153	37740
212	10193	37662
213	10232	37581
214	10272	37505
215	10317	37450
216	10372	37428
217	10430	37414
218	10473	37350
219	10511	37268
220	10552	37194
221	10592	37121
222	10632	37047
223	10680	36999
224	10725	36944
225	10753	36826
226	10802	36784
227	10846	36727
228	10894	36680
229	10938	36621
230	10982	36561
231	11026	36499
232	11069	36440
233	11110	36371
234	11139	36263
235	11180	36195
236	11222	36128
237	11265	36068
238	11291	35954
239	11335	35894
240	11377	35832
241	11418	35764
242	11461	35703
243	11482	35576
244	11537	35552
245	11572	35469
246	11640	35486
247	11689	35445
248	11745	35424
249	11805	35415
250	11861	35396
251	11899	35320
252	11941	35257
253	11983	35196
254	12028	35143
255	12077	35100
256	12117	35031
257	12157	34964
258	12198	34899
259	12245	34852
260	12293	34808
261	12336	34748
262	12387	34713
263	12431	34658
264	12477	34607
265	12500	34494
266	12546	34443
267	12590	34388
268	12631	34326
269	12680	34284
270	12736	34261
271	12782	34211
272	12813	34121
273	12860	34076
274	12901	34012
275	12929	33915
276	12972	33858
277	13004	33773
278	13051	33727
279	13094	33672
280	13139	33620
281	13201	33612
282	13281	33648
283	13326	33598
284	13418	33664
285	13461	33607
286	13503	33548
287	13549	33496
288	13590	33435
289	13630	33372
290	13671	33309
291	13713	33249
292	13754	33189
293	13796	33131
294	13830	33052
295	13861	32967
296	13915	32937
297	13967	32903
298	14017	32864
299	14078	32850
300	14130	32815
301	14186	32787
302	14235	32746
303	14283	32700
304	14332	32658
305	14380	32614
306	14426	32565
307	14469	32509
308	14511	32451
309	14560	32408
310	14604	32355
311	14646	32297
312	14669	32197
313	14714	32146
314	14752	32080
315	14796	32026
316	14844	31982
317	14889	31932
318	14933	31880
319	14958	31787
320	15002	31733
321	15043	31674
322	15086	31621
323	15131	31570
324	15155	31476
325	15197	31421
