id,carat,cut,color,clarity,x,y,z,depth,table,price
20000,0.35,Very Good,G,VVS2,4.44,4.48,2.8,62.8,58.0,798
20001,0.7,Ideal,F,SI1,5.66,5.69,3.55,62.6,56.0,2089
20002,0.32,Ideal,F,VVS1,4.42,4.38,2.7,61.4,56.0,990
20003,0.3,Ideal,H,VVS2,4.32,4.35,2.67,61.7,54.2,631
20004,0.33,Premium,I,VVS2,4.41,4.47,2.76,62.2,59.0,579
20005,0.51,Premium,G,VS2,5.17,5.12,3.15,61.2,60.0,1546
20006,0.43,Ideal,J,IF,4.84,4.87,3.03,62.4,56.0,890
20007,1.06,Ideal,H,SI2,6.65,6.63,3.99,60.1,59.0,4401
20008,1.01,Premium,F,VS2,6.47,6.43,3.98,61.7,58.0,7240
20009,0.33,Ideal,E,VVS2,4.44,4.48,2.73,61.2,56.0,814
20010,0.43,Ideal,E,SI1,4.79,4.82,3.01,62.6,56.0,760
20011,1.01,Premium,H,SI1,6.45,6.42,3.88,60.3,59.0,4191
20012,1.01,Ideal,I,I1,6.45,6.43,3.97,61.6,56.0,2416
20013,0.3,Ideal,E,VS2,4.34,4.3,2.67,61.8,56.0,844
20014,1.57,Premium,I,VS2,7.43,7.35,4.59,62.2,58.0,7755
20015,0.94,Premium,E,SI1,6.27,6.24,3.88,62.0,58.0,4580
20016,1.01,Ideal,G,VVS2,6.54,6.5,3.95,60.6,57.0,7366
20017,0.5,Ideal,D,VS1,5.05,5.12,3.17,62.3,54.3,2033
20018,0.31,Ideal,D,VS2,4.32,4.34,2.72,62.8,54.0,692
20019,2.52,Premium,F,SI2,8.78,8.7,5.3,60.6,60.0,18179
20020,0.38,Very Good,E,VS1,4.61,4.63,2.91,63.0,56.0,891
20021,0.3,Premium,G,VVS2,4.27,4.29,2.68,62.6,58.0,684
20022,1.5,Ideal,I,I1,7.31,7.39,4.54,61.8,57.0,5412
20023,1.02,Good,E,SI1,6.31,6.4,4.05,63.7,62.0,4443
20024,0.54,Premium,D,VS2,5.3,5.26,3.2,60.6,58.0,1993
20025,0.56,Ideal,G,VS1,5.28,5.3,3.28,62.0,56.0,1822
20026,1.17,Ideal,F,VVS2,6.76,6.82,4.2,61.9,54.0,10351
20027,0.57,Premium,H,VS2,5.4,5.29,3.21,60.1,61.0,1414
20028,0.49,Premium,G,SI1,5.03,4.98,3.13,62.5,58.0,1026
20029,0.7,Ideal,D,SI1,5.67,5.73,3.56,62.5,56.0,2612
20030,1.18,Premium,I,SI1,6.9,6.82,4.15,60.5,59.0,4956
20031,0.91,Ideal,E,SI1,6.23,6.29,3.82,61.0,58.0,4132
20032,0.4,Good,F,SI1,4.66,4.69,2.95,63.1,58.0,687
20033,0.54,Good,H,SI1,5.31,5.22,3.13,59.4,65.0,1131
20034,0.71,Good,G,SI2,5.6,5.54,3.55,63.6,58.0,1816
20035,0.33,Very Good,E,SI1,4.41,4.44,2.68,60.6,60.0,579
20036,0.5,Premium,D,SI2,5.04,4.96,3.13,62.6,58.0,1243
20037,0.32,Ideal,J,VVS1,4.41,4.43,2.75,62.3,54.0,494
20038,1.22,Very Good,H,SI2,6.66,6.76,4.22,62.9,59.0,5233
20039,1.03,Ideal,D,SI2,6.61,6.53,3.99,60.7,55.0,4839
20040,2.08,Ideal,H,SI1,8.36,8.4,4.92,58.7,60.0,18760
20041,1.25,Ideal,H,SI2,6.89,6.94,4.29,62.2,55.4,5932
20042,1.17,Ideal,G,VVS2,6.77,6.85,4.17,61.2,56.0,9289
20043,0.25,Very Good,E,VVS2,4.07,4.14,2.47,60.2,59.0,575
20044,0.55,Ideal,E,SI2,5.26,5.29,3.26,61.8,55.0,1273
20045,0.42,Ideal,G,VVS1,4.82,4.78,2.94,61.2,57.0,1235
20046,1.22,Premium,G,VS1,6.85,6.88,4.23,61.6,60.0,7850
20047,1.21,Ideal,H,SI1,6.81,6.84,4.23,62.1,56.0,6629
20048,0.35,Ideal,D,VS2,4.54,4.5,2.8,61.9,55.0,1063
20049,0.41,Ideal,G,SI2,4.84,4.81,2.94,60.9,56.0,810
20050,1.01,Ideal,G,VS2,6.43,6.41,3.97,61.8,57.0,6504
20051,2.01,Very Good,G,SI1,7.94,8.03,4.96,62.1,60.0,18398
20052,0.4,Ideal,E,VVS2,4.78,4.74,2.94,61.8,55.0,1238
20053,1.07,Ideal,I,VVS1,6.56,6.6,4.1,62.3,57.0,6685
20054,0.9,Ideal,H,SI2,6.17,6.19,3.83,62.0,57.0,3578
20055,1.03,Premium,E,SI1,6.53,6.51,4.0,61.3,60.0,5101
20056,0.3,Ideal,D,VS2,4.36,4.32,2.65,61.1,56.0,911
20057,0.35,Ideal,D,VS2,4.52,4.48,2.81,62.4,55.0,1063
20058,0.3,Ideal,G,VS1,4.31,4.33,2.67,61.8,55.0,605
20059,1.05,Ideal,G,VVS2,6.54,6.59,4.03,61.4,56.0,9555
20060,1.01,Premium,G,VS2,6.53,6.44,3.88,59.8,61.0,5620
20061,0.34,Premium,E,VVS1,4.48,4.43,2.75,61.7,58.0,1084
20062,0.76,Ideal,E,SI1,5.87,5.91,3.61,61.3,55.0,3584
20063,0.3,Ideal,E,VVS2,4.28,4.31,2.67,62.2,57.0,766
20064,2.0,Good,H,SI1,8.21,8.26,4.78,58.0,58.0,17447
20065,0.82,Very Good,J,SI1,5.88,5.94,3.72,62.9,57.0,2313
20066,0.55,Ideal,F,VS2,5.26,5.3,3.26,61.7,56.0,1692
20067,0.3,Ideal,F,VVS1,4.3,4.34,2.69,62.3,56.0,857
20068,2.14,Premium,D,SI2,8.4,8.36,5.01,59.8,59.0,17127
20069,0.51,Ideal,G,VVS2,5.16,5.17,3.16,61.2,56.0,2303
20070,0.25,Ideal,H,VS2,4.09,4.11,2.5,61.0,55.0,367
20071,1.52,Fair,H,I1,6.92,6.89,4.81,69.7,55.0,4648
20072,0.31,Very Good,G,VS2,4.33,4.37,2.64,60.7,61.0,544
20073,1.0,Premium,H,SI1,6.51,6.46,3.85,59.4,58.0,4788
20074,2.02,Ideal,H,SI2,8.14,8.04,5.06,62.4,56.0,12680
20075,0.31,Premium,G,VS2,4.41,4.37,2.59,59.0,60.0,698
20076,0.26,Ideal,I,VS1,4.08,4.12,2.53,61.6,54.0,578
20077,0.3,Very Good,H,SI1,4.28,4.31,2.7,62.9,57.0,421
20078,0.91,Ideal,I,VS1,6.25,6.2,3.89,62.5,55.0,3669
20079,0.27,Ideal,G,VS1,4.14,4.16,2.58,62.3,56.0,490
20080,1.01,Fair,G,SI2,6.29,6.21,4.07,65.1,58.0,3461
20081,0.43,Premium,F,SI1,4.87,4.83,2.99,61.6,59.0,1016
20082,1.2,Very Good,D,SI2,6.61,6.56,4.18,63.5,59.0,4758
20083,0.56,Ideal,D,VS2,5.26,5.3,3.27,61.9,57.0,1963
20084,0.34,Premium,D,SI1,4.54,4.5,2.72,60.2,60.0,803
20085,0.33,Very Good,H,VS2,4.44,4.49,2.74,61.4,58.0,521
20086,0.3,Very Good,H,SI1,4.29,4.26,2.71,63.4,58.0,540
20087,1.26,Ideal,G,VS2,6.94,6.89,4.25,61.5,57.0,5792
20088,1.01,Very Good,D,SI1,6.39,6.43,4.03,62.9,59.0,5443
20089,0.35,Very Good,G,VVS2,4.47,4.53,2.81,62.4,56.0,798
20090,1.51,Very Good,H,VVS1,7.3,7.39,4.52,61.5,58.0,12981
20091,0.7,Very Good,F,VS2,5.59,5.62,3.53,63.0,58.0,2507
20092,0.72,Ideal,E,SI1,5.77,5.81,3.55,61.3,56.0,2731
20093,0.61,Ideal,I,VVS1,5.46,5.49,3.39,62.0,55.0,1742
20094,0.91,Good,F,SI2,6.04,6.09,3.87,63.8,59.0,3539
20095,0.21,Premium,E,SI1,3.89,3.84,2.31,59.8,61.0,326
20096,0.3,Ideal,I,VVS2,4.26,4.28,2.68,62.8,57.0,507
20097,0.53,Ideal,H,VS2,5.23,5.2,3.22,61.7,54.0,1604
20098,0.51,Very Good,E,VVS2,5.2,5.23,3.13,60.0,58.0,2365
20099,1.5,Fair,J,SI1,7.09,7.03,4.58,64.9,58.0,6006
20100,0.81,Premium,H,VS2,6.17,6.13,3.57,58.0,59.0,2795
20101,0.25,Premium,E,VVS2,4.02,4.04,2.48,61.5,59.0,576
20102,0.7,Premium,G,VS2,5.84,5.78,3.38,58.2,60.0,2328
20103,0.7,Good,D,SI2,5.64,5.6,3.58,63.7,58.0,2388
20104,2.11,Ideal,J,VS1,8.2,8.23,5.07,61.8,56.2,15766
20105,0.75,Premium,E,SI1,5.86,5.83,3.57,61.1,59.0,2814
20106,1.51,Premium,I,SI1,7.35,7.27,4.55,62.2,61.0,6756
20107,1.06,Premium,G,SI2,6.61,6.55,4.02,61.1,62.0,4238
20108,0.7,Fair,D,SI2,5.51,5.44,3.71,67.8,58.0,1770
20109,0.64,Very Good,F,SI1,5.54,5.6,3.41,61.2,58.0,1725
20110,1.01,Very Good,F,VS1,6.29,6.31,3.96,62.9,58.0,7455
20111,0.55,Ideal,D,VS1,5.25,5.26,3.24,61.7,55.0,1890
20112,1.02,Ideal,I,SI1,6.44,6.46,4.0,62.0,56.0,4738
20113,0.4,Ideal,G,VS2,4.72,4.69,2.96,62.9,56.0,1035
20114,0.7,Fair,H,VS1,5.65,5.54,3.47,62.0,73.0,2100
20115,0.5,Ideal,H,SI1,5.06,5.14,3.17,62.2,53.0,1154
20116,0.69,Fair,G,SI2,5.49,5.43,3.57,65.4,63.0,1691
20117,2.01,Premium,I,SI2,8.02,7.97,5.01,62.7,58.0,10558
20118,0.52,Ideal,G,SI1,5.17,5.22,3.18,61.2,55.0,1413
20119,0.33,Ideal,H,SI1,4.41,4.39,2.77,63.0,57.0,610
20120,1.2,Premium,G,SI1,6.72,6.68,4.22,63.0,58.0,6026
20121,0.9,Very Good,D,SI2,6.16,6.2,3.86,62.5,55.0,4946
20122,0.73,Ideal,F,SI2,5.77,5.8,3.59,62.1,56.0,2276
20123,0.26,Very Good,E,VS2,4.11,4.13,2.56,62.1,56.0,452
20124,0.91,Ideal,D,VS2,6.26,6.32,3.83,60.9,57.0,6444
20125,1.21,Premium,E,VS1,6.95,6.91,4.18,60.3,58.0,10137
20126,1.66,Premium,G,SI2,7.77,7.69,4.57,59.1,58.0,10030
20127,0.77,Ideal,F,SI2,5.91,5.96,3.66,61.7,56.0,2401
20128,0.34,Ideal,E,SI1,4.49,4.45,2.78,62.2,55.0,765
20129,1.01,Very Good,E,VS2,6.5,6.56,3.87,59.3,59.0,5760
20130,0.72,Ideal,F,VS2,5.83,5.79,3.55,61.1,56.0,2607
20131,1.01,Good,D,SI2,6.37,6.43,4.04,63.1,54.0,4260
20132,0.21,Premium,E,VS2,3.93,3.89,2.33,59.6,56.0,386
20133,1.28,Premium,G,VVS2,6.96,6.91,4.31,62.1,58.0,10716
20134,1.16,Ideal,G,VS2,6.78,6.75,4.21,62.2,55.0,7600
20135,0.6,Ideal,H,VS1,5.47,5.49,3.36,61.3,55.0,2250
20136,0.73,Ideal,E,SI1,5.76,5.79,3.59,62.2,56.0,3038
20137,0.7,Very Good,I,VS1,5.63,5.58,3.54,63.2,55.0,2394
20138,1.01,Premium,D,VS2,6.57,6.47,3.94,60.4,58.0,7032
20139,0.52,Ideal,H,VVS1,5.23,5.25,3.18,60.7,57.0,1639
20140,0.79,Premium,G,SI2,6.0,5.98,3.61,60.8,58.0,1877
20141,1.51,Very Good,F,VVS2,7.31,7.34,4.5,61.4,58.0,16716
20142,0.5,Very Good,H,SI1,5.06,5.15,3.11,60.9,61.0,1133
20143,0.32,Ideal,F,IF,4.38,4.4,2.73,62.2,55.0,1010
20144,0.29,Very Good,F,IF,4.35,4.37,2.61,59.9,56.0,815
20145,0.9,Very Good,F,SI1,6.09,6.13,3.85,63.0,60.0,4232
20146,0.74,Ideal,F,VVS2,5.85,5.82,3.59,61.5,55.0,3879
20147,1.19,Ideal,F,VS2,6.76,6.78,4.2,62.0,57.0,8265
20148,1.5,Very Good,E,SI2,7.31,7.35,4.56,62.2,58.0,8291
20149,0.71,Good,I,VS1,5.65,5.7,3.61,63.6,56.0,2306
20150,2.0,Ideal,H,VS2,8.03,7.94,4.99,62.4,55.0,15829
20151,0.32,Ideal,D,VS2,4.39,4.37,2.71,61.9,57.0,972
20152,1.16,Ideal,I,SI1,6.71,6.75,4.2,62.4,57.0,5107
20153,0.7,Ideal,F,SI1,5.67,5.7,3.51,61.7,58.0,2662
20154,1.02,Very Good,G,SI1,6.41,6.5,4.0,62.0,57.0,4633
20155,1.02,Very Good,D,VS2,6.4,6.36,4.03,63.2,58.0,7677
20156,0.79,Ideal,E,VS1,5.9,5.93,3.67,62.0,56.0,4240
20157,1.09,Very Good,H,SI2,6.64,6.69,4.06,60.9,57.0,4349
20158,1.02,Ideal,H,I1,6.4,6.45,3.99,62.1,56.0,3915
20159,0.5,Premium,G,SI2,5.12,5.09,3.16,61.9,58.0,1006
20160,2.18,Ideal,I,SI2,8.37,8.31,5.12,61.4,60.0,14870
20161,1.0,Very Good,E,VS2,6.35,6.38,3.94,61.9,57.0,6732
20162,1.06,Premium,D,VS2,6.48,6.52,4.05,62.3,59.0,7541
20163,0.7,Very Good,I,SI1,5.64,5.68,3.54,62.5,60.0,2039
20164,0.71,Ideal,H,VVS1,5.78,5.81,3.5,60.4,57.0,2867
20165,1.01,Ideal,F,IF,6.41,6.46,3.99,62.0,58.0,10688
20166,0.3,Ideal,G,IF,4.31,4.33,2.7,62.5,54.0,863
20167,1.04,Very Good,F,VS1,6.44,6.41,4.06,63.2,57.0,7534
20168,1.71,Premium,J,SI2,7.62,7.58,4.76,62.6,57.0,8540
20169,1.0,Premium,H,SI2,6.51,6.4,3.94,61.0,57.0,4032
20170,0.23,Very Good,E,VVS1,3.93,3.96,2.45,62.2,57.0,583
20171,0.9,Fair,I,SI2,5.92,5.86,3.91,66.4,60.0,2948
20172,1.6,Ideal,F,SI2,7.46,7.41,4.69,62.8,56.0,7616
20173,0.51,Ideal,F,VVS2,5.17,5.19,3.17,61.2,56.0,2093
20174,1.51,Very Good,F,SI1,7.27,7.3,4.59,63.0,61.0,11560
20175,1.08,Good,F,SI2,6.72,6.77,3.91,58.0,61.0,4391
20176,1.0,Premium,H,SI2,6.33,6.31,3.96,62.7,58.0,4200
20177,0.35,Ideal,I,VVS2,4.49,4.53,2.81,62.3,57.0,614
20178,1.01,Premium,G,SI2,6.39,6.34,3.97,62.4,59.0,4327
20179,0.32,Ideal,H,VS1,4.42,4.39,2.76,62.7,56.0,672
20180,1.5,Very Good,H,SI1,7.35,7.44,4.51,61.0,55.0,9987
20181,0.53,Ideal,G,VVS2,5.23,5.2,3.22,61.7,56.0,2051
20182,1.07,Ideal,H,VS1,6.66,6.69,4.02,60.2,59.0,6479
20183,0.73,Ideal,I,VS2,5.82,5.85,3.55,60.8,56.0,3438
20184,1.01,Premium,G,VS1,6.38,6.41,4.01,62.7,58.0,6499
20185,0.55,Ideal,I,VS2,5.21,5.23,3.27,62.6,57.0,1393
20186,0.51,Ideal,D,VS1,5.17,5.14,3.19,61.9,57.0,2177
20187,0.9,Ideal,H,SI2,6.23,6.29,3.82,61.0,56.0,4016
20188,0.53,Very Good,E,SI1,5.19,5.23,3.21,61.6,58.0,1395
20189,1.5,Premium,J,VVS2,7.36,7.33,4.54,61.8,60.0,8760
20190,0.33,Ideal,F,VVS1,4.43,4.46,2.75,61.9,55.0,893
20191,1.06,Ideal,F,SI2,6.56,6.51,4.04,61.8,56.0,5354
20192,1.01,Premium,G,VS1,6.48,6.51,3.89,59.9,59.0,6239
20193,0.72,Premium,F,VVS2,5.78,5.84,3.55,61.1,58.0,3250
20194,1.7,Premium,G,SI2,7.61,7.57,4.7,61.9,58.0,10472
20195,0.5,Fair,H,VS2,5.24,5.21,2.94,56.3,65.0,1332
20196,0.3,Very Good,G,VS2,4.27,4.3,2.7,63.0,56.0,526
20197,1.06,Premium,G,SI2,6.53,6.52,4.04,61.9,60.0,4571
20198,1.11,Very Good,F,SI1,6.64,6.74,4.06,60.1,61.0,5384
20199,0.33,Premium,G,SI1,4.45,4.42,2.73,61.6,57.0,631
20200,0.55,Ideal,H,VS2,5.31,5.28,3.28,62.0,55.0,1664
20201,0.43,Premium,D,SI2,4.79,4.82,3.01,62.6,58.0,716
20202,1.36,Very Good,H,SI2,7.09,7.16,4.38,61.5,58.0,6279
20203,1.01,Ideal,D,SI2,6.52,6.47,3.99,61.3,54.0,5006
20204,1.24,Premium,H,VS2,6.91,6.84,4.24,61.7,59.0,6962
20205,0.34,Premium,I,VS1,4.59,4.55,2.72,59.5,59.0,689
20206,1.01,Good,G,VS1,6.55,6.65,3.81,57.7,63.0,6613
20207,1.09,Very Good,F,SI2,6.54,6.49,4.12,63.2,58.0,4853
20208,0.53,Ideal,G,IF,5.27,5.33,3.21,60.6,56.0,2293
20209,0.31,Ideal,D,SI1,4.33,4.34,2.7,62.3,55.0,541
20210,0.71,Good,I,VS1,5.7,5.65,3.61,63.6,56.0,2327
20211,0.74,Premium,G,SI2,5.77,5.75,3.63,63.0,56.0,2398
20212,1.5,Very Good,H,VS1,7.15,7.1,4.51,63.3,59.0,9173
20213,0.31,Ideal,E,VVS2,4.36,4.4,2.69,61.4,56.0,766
20214,0.91,Fair,E,VVS2,6.13,6.0,3.83,63.1,55.0,5430
20215,0.4,Ideal,G,VS1,4.68,4.73,2.93,62.3,57.0,819
20216,0.31,Premium,E,SI2,4.35,4.38,2.66,60.9,60.0,435
20217,0.7,Very Good,D,VS1,5.57,5.62,3.52,62.9,60.0,3231
20218,0.41,Ideal,G,VVS2,4.74,4.7,2.97,62.9,56.0,1076
20219,0.72,Very Good,E,SI2,5.72,5.79,3.58,62.2,59.0,2401
20220,0.32,Ideal,G,VS1,4.38,4.42,2.71,61.6,57.0,645
20221,0.32,Ideal,H,VS1,4.36,4.38,2.73,62.5,55.0,620
20222,0.53,Very Good,G,SI1,5.21,5.34,3.23,61.2,55.0,1237
20223,0.52,Premium,G,VS1,5.24,5.19,3.08,59.1,60.0,1622
20224,1.23,Premium,G,SI2,7.03,6.97,4.12,58.9,62.0,4408
20225,1.01,Good,H,SI2,6.24,6.29,4.06,64.8,58.0,4149
20226,0.4,Ideal,E,VVS2,4.78,4.73,2.93,61.6,56.0,1056
20227,1.0,Ideal,F,SI1,6.43,6.37,3.97,62.0,57.0,5292
20228,1.01,Premium,D,VVS1,6.56,6.53,3.88,59.3,59.0,11480
20229,1.06,Ideal,G,SI2,6.49,6.53,4.04,62.1,58.0,4987
20230,1.01,Very Good,E,VS2,6.41,6.45,3.97,61.7,56.0,5777
20231,0.26,Very Good,E,VVS2,4.1,4.16,2.5,60.5,55.0,569
20232,1.0,Premium,D,SI1,6.49,6.42,3.84,59.5,60.0,5488
20233,1.07,Premium,G,VS2,6.59,6.55,4.08,62.1,58.0,6471
20234,0.77,Premium,E,SI2,6.01,5.96,3.58,59.8,56.0,2723
20235,0.41,Good,F,VVS2,4.82,4.87,2.87,59.2,63.0,1150
20236,1.13,Ideal,H,SI2,6.67,6.71,4.18,62.5,57.0,4584
20237,0.7,Ideal,E,SI2,5.68,5.65,3.52,62.1,56.0,2475
20238,1.02,Very Good,E,SI2,6.42,6.32,4.03,63.3,59.0,4478
20239,0.31,Premium,D,VS2,4.32,4.37,2.66,61.2,59.0,734
20240,0.3,Premium,G,VVS2,4.26,4.22,2.62,61.8,59.0,878
20241,0.36,Ideal,E,SI1,4.59,4.56,2.84,62.1,56.0,810
20242,0.71,Good,F,SI1,5.65,5.61,3.58,63.6,54.0,2345
20243,1.7,Premium,I,VS2,7.57,7.52,4.73,62.7,58.0,10662
20244,0.41,Premium,F,VVS2,4.79,4.83,2.89,60.1,58.0,1115
20245,0.89,Premium,H,VS1,6.22,6.17,3.75,60.5,59.0,3489
